mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
0.09646688,0.00365561,0.00278792,9.06E-05,80,10,10,0.85089463,0.86481113,0.87051793,0.85059761,0.86454183,0.86027263,0.00806651
0.4677259,0.01597633,0.00800009,1.10E-04,80,10,50,0.88469185,0.87276342,0.88645418,0.85258964,0.87649402,0.87459862,0.01211432
0.93283672,0.01935114,0.01399698,4.42E-04,80,10,100,0.87276342,0.87872763,0.89442231,0.85657371,0.88446215,0.87738984,0.01262242
1.88633442,0.02823272,0.02822595,2.16E-03,80,10,200,0.88270378,0.87673956,0.89442231,0.86454183,0.87250996,0.87818349,0.01004491
3.77810817,0.07158887,0.05264115,2.34E-03,80,10,400,0.87673956,0.87475149,0.89641434,0.85856574,0.88446215,0.87818666,0.01241374
0.18344936,0.00655685,0.0028861,6.42E-05,80,20,10,0.86481113,0.87077535,0.87250996,0.85657371,0.85458167,0.86385036,0.0072488
0.86304126,0.02426127,0.00779872,2.54E-04,80,20,50,0.86481113,0.86481113,0.89442231,0.85059761,0.87848606,0.87062565,0.01481085
1.759482,0.05579135,0.013906,2.77E-04,80,20,100,0.87872763,0.87872763,0.88844622,0.85458167,0.88446215,0.87698906,0.01179194
3.5049387,0.09406512,0.02643552,7.04E-04,80,20,200,0.88071571,0.87276342,0.89043825,0.85657371,0.88645418,0.87738905,0.01198499
7.02853823,0.14586052,0.05224767,1.31E-03,80,20,400,0.87077535,0.86282306,0.89442231,0.85856574,0.88247012,0.87381132,0.01313145
0.33690643,0.007084,0.00287409,7.20E-05,80,40,10,0.87077535,0.85685885,0.87848606,0.87051793,0.86055777,0.86743919,0.00777096
1.72459841,0.07944704,0.00787582,2.47E-04,80,40,50,0.86282306,0.8667992,0.89442231,0.83665339,0.87250996,0.86664158,0.0185478
3.46019778,0.12068981,0.01385779,4.18E-04,80,40,100,0.87276342,0.86878728,0.88844622,0.85258964,0.87649402,0.87181612,0.01164621
6.89177103,0.27909054,0.02692981,1.29E-03,80,40,200,0.88071571,0.8667992,0.89243028,0.83665339,0.88446215,0.87221215,0.01962076
13.61995115,0.47460325,0.05071387,1.59E-03,80,40,400,0.88071571,0.86878728,0.89243028,0.86055777,0.88247012,0.87699223,0.01113209
0.47610769,0.02089733,0.00283837,4.85E-05,80,55,10,0.88270378,0.84691849,0.86454183,0.84063745,0.86653386,0.86026708,0.01499639
2.37549758,0.0945476,0.00772557,1.69E-04,80,55,50,0.88270378,0.85884692,0.88446215,0.85657371,0.8625498,0.86902727,0.01204965
4.72591934,0.19713323,0.01377835,2.67E-04,80,55,100,0.87673956,0.86481113,0.88844622,0.84262948,0.87051793,0.86862886,0.01518303
9.56736202,0.36437013,0.02637548,5.67E-04,80,55,200,0.88071571,0.86083499,0.88844622,0.85258964,0.87051793,0.8706209,0.01296571
18.89747515,0.65655313,0.05052099,1.81E-03,80,55,400,0.89264414,0.86083499,0.88446215,0.85059761,0.87649402,0.87300658,0.01535797
0.09820986,0.00442117,0.00273466,1.11E-04,100,10,10,0.85884692,0.86282306,0.88247012,0.83864542,0.86454183,0.86146547,0.01400081
0.47116089,0.01407826,0.00812049,1.58E-04,100,10,50,0.87673956,0.87077535,0.88844622,0.85458167,0.88247012,0.87460258,0.01160686
0.94478273,0.01796821,0.01439662,3.19E-04,100,10,100,0.87872763,0.87673956,0.89840637,0.86454183,0.87848606,0.87938029,0.01086619
1.86442909,0.02383857,0.02743707,2.12E-03,100,10,200,0.87276342,0.8667992,0.89840637,0.85856574,0.88247012,0.87580097,0.01373167
3.72663531,0.05544187,0.05434933,1.89E-03,100,10,400,0.87276342,0.88270378,0.89442231,0.85657371,0.88645418,0.87858348,0.0130238
0.17577715,0.00995845,0.0027668,4.98E-05,100,20,10,0.85884692,0.87872763,0.88047809,0.84462151,0.87051793,0.86663842,0.01340289
0.86091237,0.02004828,0.00780182,2.68E-04,100,20,50,0.87475149,0.86878728,0.88446215,0.86454183,0.87250996,0.87301054,0.00669292
1.68619041,0.04390164,0.01370931,2.93E-04,100,20,100,0.88071571,0.8667992,0.89840637,0.86454183,0.87649402,0.87739143,0.01208959
3.41053123,0.11179777,0.02576747,4.56E-04,100,20,200,0.87673956,0.86481113,0.89442231,0.85059761,0.88446215,0.87420655,0.01527041
6.83366766,0.15668645,0.05057554,7.61E-04,100,20,400,0.88667992,0.86878728,0.89442231,0.85458167,0.88446215,0.87778667,0.01428186
0.33990583,0.01375117,0.00284262,1.53E-04,100,40,10,0.86481113,0.8528827,0.86653386,0.82868526,0.85258964,0.85310052,0.0135204
1.70822611,0.06284978,0.00764408,1.60E-04,100,40,50,0.86878728,0.8667992,0.88645418,0.86055777,0.88446215,0.87341212,0.01022304
3.34378486,0.10010955,0.01366262,2.89E-04,100,40,100,0.85685885,0.86083499,0.88446215,0.84661355,0.88047809,0.86584952,0.0143974
6.72611351,0.23967735,0.02721634,2.39E-03,100,40,200,0.88469185,0.86083499,0.88645418,0.85458167,0.87051793,0.87141612,0.01263767
13.43501849,0.50659251,0.04976339,7.99E-04,100,40,400,0.87872763,0.86878728,0.89043825,0.85059761,0.88645418,0.87500099,0.0142654
0.46365275,0.04065349,0.00305562,6.47E-04,100,55,10,0.86481113,0.84890656,0.86653386,0.83864542,0.8625498,0.85628936,0.01079424
2.33887491,0.0937729,0.00748305,7.99E-05,100,55,50,0.86878728,0.8667992,0.87848606,0.84860558,0.87250996,0.86703761,0.01003864
4.69235668,0.18012886,0.01334939,2.12E-04,100,55,100,0.88071571,0.85685885,0.88047809,0.84860558,0.88247012,0.86982567,0.01421534
9.41731873,0.28583276,0.0254178,4.49E-04,100,55,200,0.87673956,0.85685885,0.89243028,0.84661355,0.87450199,0.86942885,0.01604239
18.85939398,0.69054791,0.05085225,3.81E-03, 100],55,400,0.87872763,0.86282306,0.88844622,0.84462151,0.87450199,0.86982408,0.01504742
