FIPS,response,Density.per.square.mile.of.land.area...Population,Ave.Tmp,crime_rate_per_100000_scaled,percent.male,percent.disabled,percent.age.65.plus,percent.black,percent.hispanic,Urban_Influence_Code_2013,Unemployment_rate_2018,Median_Household_Income_2018,Percent.of.adults.with.HS.or.less.2014.18,Total.Active.Patient.Care.Physicians.per.100000.Population.2018..AAMC.,Total.Hospitals..2019.,state.testing.rate,days_closing_of_public_venues,days_social_distancing
6019,1,156.2,62.08333333,53.42980847,0.498809332,0.129263878,0.122800684,0.058164722,0.534671158,2,7.5,52318,47.6,243.8,9.024678158,19025.67213,54,143
10001,0,276.9,66.3,53.41880342,0.481786614,0.155771493,0.170725287,0.267745729,0.073889667,2,4.1,54980,46.1,252.3,1.292274065,18178.53196,77,0
48227,0,38.9,72.61666667,53.39308933,0.575056913,0.13264,0.128719932,0.071916399,0.431169259,5,3.3,50423,54.4,199.9,0.6643495,12206.45098,49,0
38065,0,2.6,52.01666667,53.36179296,0.522540984,0.13264,0.22182377,0.004098361,0.019979508,2,4.1,68243,42,217.1,0.1001583,19825.55225,42,0
13237,1,61.6,72.28333333,53.34331571,0.488009537,0.13264,0.240542895,0.267458389,0.064422945,4,5,51205,52.1,202.9,0.300614337,14245.1139,98,98
37007,0,50.7,71.56666667,53.13252552,0.520118985,0.13264,0.184668569,0.486071472,0.043172408,4,4.5,38023,61,223.5,0.268328772,16127.1973,105,108
39003,0,264.2,60.86666667,53.08742806,0.504436847,0.170597002,0.176470588,0.126530493,0.031637494,2,4.5,50301,48.9,248.6,1.703813,12155.23009,107,146
51145,0,107.8,67.6,53.08043455,0.518345952,0.13264,0.182397479,0.09513858,0.024084415,1,2.7,88475,40.1,231.8,0.3289795,12615.00326,98,98
48137,0,0.9,73.26666667,53.07855626,0.528526971,0.13264,0.290975104,0.010892116,0.553423237,12,2.8,37812,53.3,199.9,0.03513168,12206.45098,49,0
46087,0,9.8,56.26666667,53.05978069,0.501081861,0.13264,0.189866571,0.008654886,0.042553191,2,2.5,59913,46.4,219.1,0.3583195,12401.84071,0,99
54091,0,97.8,62.65,53.02539327,0.507413118,0.13264,0.202289171,0.01150516,0.01126794,5,4.8,46370,57.6,231.6,0.5229014,15296.01087,64,98
13065,1,8.5,74.76666667,52.98013245,0.486161252,0.13264,0.16200361,0.273616125,0.05866426,7,4.6,37593,60.9,202.9,0.091635752,14245.1139,98,98
13317,1,22.6,71.31666667,52.94705295,0.480052653,0.13264,0.231065209,0.414135277,0.053159174,6,4.6,39361,64.3,202.9,0.136130368,14245.1139,98,98
26121,0,344.9,56.13333333,52.92150075,0.496808535,0.138563726,0.170080881,0.14137498,0.058074291,2,4.5,49960,43.7,249.7,2.500688731,17955.92948,84,137
54043,0,49.7,65.65,52.87814834,0.495412399,0.13264,0.194912374,0.003495315,0.007087723,2,6.9,39766,65.9,231.6,0.6387881,15296.01087,64,98
55075,0,29.8,51.25,52.87190579,0.501978533,0.13264,0.237968047,0.006207647,0.018993916,5,4,50670,51.8,238.3,0.9250295,15567.01201,58,105
12039,1,89.8,75.05,52.82071265,0.474789733,0.13264,0.178607225,0.557698174,0.10508999,2,4.6,42259,57.3,240.7,0.467573409,16420.56144,102,102
27045,0,24.2,54.58333333,52.79577634,0.501614588,0.13264,0.20937411,0.005271156,0.017997911,2,3.1,58761,42.7,265,0.476613917,17609.14542,66,95
28073,1,112,73.25,52.72019183,0.480423399,0.13264,0.137764825,0.207792208,0.027287139,2,3.6,58377,32.7,174.8,2.070045504,14895.22198,73,91
18083,0,74.5,64.8,52.69536808,0.506355875,0.13264,0.178398157,0.029597506,0.022360753,8,3.3,48606,47.5,212,0.727768797,10757.79026,56,82
28109,0,68.9,73.41666667,52.65833818,0.492245473,0.13264,0.187679419,0.124722408,0.031956957,3,4.7,45268,45.9,174.8,1.836014706,14895.22198,73,91
1011,1,17.5,72.75,52.63652599,0.545176563,0.13264,0.163839022,0.707042809,0.079601499,6,4.7,29267,64.5,196.7,0.209485479,13629.40619,44,88
