FIPS,County_Equivalent,POP_ESTIMATE_2018.x,pop.density.percentile,case.rate,case.rate.percentile,response,percent_race,race
51049,Cumberland,9809,0.402734618,7.747987,0.505728835,0,0.029564685,hispanic
48115,Dawson,12619,0.229334991,11.49061,0.661680458,0,0.580949362,hispanic
36045,Jefferson,111755,0.683965196,1.270636661,0.054105665,0,0.077857814,hispanic
29175,Randolph,24763,0.537600994,2.786415216,0.167091025,0,0.021604814,hispanic
46117,Stanley,3022,0.051274083,4.632694,0.322724379,0,0.026141628,hispanic
28111,Perry,11931,0.262274705,19.78040399,0.84341184,1,0.015757271,hispanic
51027,Buchanan,21221,0.509944065,3.769851,0.246021642,0,0.007304086,hispanic
26087,Lapeer,88028,0.760720945,5.293770164,0.36855506,0,0.04670105,hispanic
48095,Concho,4276,0.098819142,6.548176,0.445576066,0,0.553320861,hispanic
36097,Schuyler,17912,0.555003108,1.228226887,0.051559516,0,0.018646717,hispanic
17187,Warren,17032,0.394344313,11.15547205,0.650222788,0,0.096582903,hispanic
17161,Rock Island,143477,0.869794904,12.16222809,0.681731381,0,0.131038424,hispanic
1079,Lawrence,32957,0.522063393,10.58955609,0.629535328,0,0.022271445,hispanic
28123,Scott,28287,0.498135488,35.45798423,0.965945258,1,0.115141231,hispanic
33011,Hillsborough,415247,0.896519577,9.271590162,0.578612349,0,0.070324409,hispanic
27035,Crow Wing,64889,0.585767557,3.621569141,0.234245703,0,0.015071892,hispanic
39047,Fayette,28666,0.62150404,3.941952,0.260980267,0,0.022744715,hispanic
48447,Throckmorton,1515,0.043505283,2.640264,0.153087206,0,0.144554455,hispanic
31029,Chase,3977,0.105655687,1.508674881,0.066518141,0,0.150616042,hispanic
39171,Williams,36804,0.677750155,3.66808,0.23742839,0,0.046407999,hispanic
37095,Hyde,5230,0.170292107,8.413001912,0.540738383,0,0.091586998,hispanic
28119,Quitman,7051,0.27688005,38.15061693,0.973901973,1,0.017160686,hispanic
30101,Toole,4853,0.068365444,9.272614877,0.578930617,0,0.043066145,hispanic
35021,Harding,655,0.005593536,1.526717557,0.067791216,0,0.454961832,hispanic
50009,Essex,6250,0.170292107,0.96,0.040420115,0,0.01312,hispanic
28003,Alcorn,36925,0.686451212,11.59106297,0.664863144,0,0.03366283,hispanic
28117,Prentiss,25315,0.577066501,16.27493581,0.780394653,1,0.01512937,hispanic
28153,Wayne,20298,0.332504661,37.78697409,0.97231063,1,0.015863632,hispanic
28101,Newton,21443,0.432877564,25.27631395,0.908975175,1,0.019959894,hispanic
46121,Todd,10283,0.137663145,6.710104,0.453532782,0,0.04181659,hispanic
28031,Covington,18853,0.506836544,32.46167719,0.95162317,1,0.024028006,hispanic
19023,Butler,14539,0.332504661,8.322443084,0.534373011,0,0.013893665,hispanic
22049,Jackson,15902,0.357364823,23.64482455,0.89401655,1,0.017544963,hispanic
28129,Smith,16002,0.33685519,25.30933633,0.909293444,1,0.016935383,hispanic
31037,Colfax,10881,0.330950901,64.42422571,0.996499045,1,0.47036118,hispanic
31013,Box Butte,10772,0.18147918,1.113999257,0.045512412,0,0.127460082,hispanic
28023,Clarke,15604,0.317899316,20.95616509,0.862189688,1,0.011150987,hispanic
28013,Calhoun,14436,0.330950901,28.9553893,0.93316359,1,0.062413411,hispanic
46051,Grant,7147,0.184275948,3.63789,0.236155315,0,0.048691759,hispanic
46009,Bon Homme,6980,0.198259789,1.862464,0.093889243,0,0.034670487,hispanic
28077,Lawrence,12455,0.369484152,25.9333601,0.91470401,1,0.020553994,hispanic
28161,Yalobusha,12392,0.345245494,25.41962556,0.909929981,1,0.018076178,hispanic
31121,Merrick,7733,0.237103791,8.017586965,0.522278803,0,0.046941679,hispanic
46037,Day,5505,0.1230578,4.17802,0.280712922,0,0.023796549,hispanic
31173,Thurston,7303,0.250155376,28.07065589,0.928707829,1,0.061481583,hispanic
28103,Noxubee,10535,0.240832815,43.37921215,0.984404838,1,0.013953488,hispanic
